,sentence,tokens,index
14,"So viel Aufregung ist der Euro eigentlich gar nicht wert, ist sein Wechselkurs doch nur noch für einen relativ kleinen Teil der gesamten Wirtschaftsleistung aller Länder der Währungsunion relevant...Vertreter der Zentralbank versichern immer wieder, man dürfe die Stärke des Euros nicht am Wechselkurs, sondern an seinem inneren Wert, der Preisstabilität, messen, die auch nach der jüngsten leichten Teuerung nicht gefährdet ist...Die Europäische Zentralbank steht somit nicht unter Handlungszwang.","['aufreg', 'euro', 'eigent', 'gar', 'nicht', 'wert', 'wechselkur', 'relativ', 'klein', 'teil', 'gesamt', 'wirtschaftsleist', 'land', 'wahrungsunion', 'relevantvertret', 'zentralbank', 'versich', 'imm', 'durf', 'stark', 'euros', 'nicht', 'wechselkur', 'inn', 'wert', 'preisstabilitat', 'mess', 'jung', 'leicht', 'teuer', 'nicht', 'gefahrdet', 'istdi', 'europa', 'zentralbank', 'steht', 'somit', 'nicht', 'handlungszwang']",4523
15,"Ein früher Zinsschritt kann nach Händlerangaben ein Signal dafür sein, dass die EZB die importierte Inflation im Keim ersticken will.","['fruh', 'zinsschritt', 'handlerangab', 'signal', 'dafur', 'ezb', 'importiert', 'inflation', 'keim', 'erstick']",4620
16,"BERLINER (dpa-AFX) - Der Berliner Tagesspiegel relativiert die Sorge um einen schwachen Euro <EURUS.FX1>:      Selbst die 'potenzielle' Inflationsrate, vor der EZB-Präsident Wim Duisenberg jetzt warnt, wäre noch kein Grund zur Beunruhigung.","['berlin', 'dpaafx', 'berlin', 'tagesspiegel', 'relativiert', 'sorg', 'schwach', 'euro', 'eurusfx', 'potenziell', 'inflationsrat', 'ezbprasident', 'wim', 'duisenberg', 'warnt', 'war', 'kein', 'grund', 'beunruh']",4656
17,Die Teuerung bei den Rohstoffen - unterstützt vom schwachen Euro - ließen die Inflationsgrenze der EZB von zwei Prozent schon sichtbar werden.,"['teuer', 'rohstoff', 'unterstutzt', 'schwach', 'euro', 'liess', 'inflationsgrenz', 'ezb', 'zwei', 'prozent', 'schon', 'sichtbar']",4892
18,Vor der mit Spannung erwarteten Sitzung hatte EZB-Präsident Wim Duisenberg zum Wochenbeginn erstmals auf die Gefahren einer importierten Inflation auf Grund des stark gedrückten Euro-Kurses zum Dollar <EURUS.FX1> gesprochen.,"['spannung', 'erwartet', 'sitzung', 'ezbprasident', 'wim', 'duisenberg', 'wochenbeginn', 'erstmal', 'gefahr', 'importiert', 'inflation', 'grund', 'stark', 'gedruckt', 'eurokurs', 'dollar', 'eurusfx', 'gesproch']",4969
19,"Hätte die EZB erst wie erwartet Anfang März die Leitzinsen verändert, so wäre die Begründung viel stichhaltiger ausgefallen: In dem Fall wäre die Begründung mit der Inflationsrate angesichts steigender Ölpreise und Lohnkosten glaubwürdiger gewesen.","['hatt', 'ezb', 'erst', 'erwartet', 'anfang', 'marz', 'leitzins', 'verandert', 'war', 'begrund', 'stichhalt', 'ausgefall', 'fall', 'war', 'begrund', 'inflationsrat', 'angesicht', 'steigend', 'olpreis', 'lohnkost', 'glaubwurd']",5033
20,"FRANKFURT (dpa-AFX) - Ungeachtet des stärkeren Wachstums und der rascheren Inflation in der Euro-Zone dürfte die EZB die Zinsen vorerst nicht erhöhen, erwartet die Zeitung Wall Street Journal Europe.","['frankfurt', 'dpaafx', 'ungeachtet', 'stark', 'wachstum', 'rasch', 'inflation', 'eurozon', 'durft', 'ezb', 'zins', 'vorerst', 'nicht', 'erhoh', 'erwartet', 'zeitung', 'wall', 'street', 'journal', 'europ']",7199
21,"Die Europäische Zentralbank (EZB) hat bereits vorhergesagt, dass die Inflation zunehme.","['europa', 'zentralbank', 'ezb', 'bereit', 'vorhergesagt', 'inflation', 'zunehm']",7445
22,"Die Europäische Zentralbank (EZB) hat bereits vorhergesagt, dass die Inflation zunehme.","['europa', 'zentralbank', 'ezb', 'bereit', 'vorhergesagt', 'inflation', 'zunehm']",7446
23,"Auffällig deutlich betonte die Führungsspitze um EZB-Präsident Wim Duisenberg die Risiken für die Geldwertstabilität: anziehende Inflationsraten in den elf Euroländern, unerwartet hohe Drehzahlen des Konjunkturmotors, eine rasant wachsende Nachfrage nach Krediten und nicht zuletzt die große Sorge um den schwachen Euro.","['auffall', 'deutlich', 'betont', 'fuhrungsspitz', 'ezbprasident', 'wim', 'duisenberg', 'risik', 'geldwertstabilitat', 'anzieh', 'inflationsrat', 'elf', 'euroland', 'unerwartet', 'hoh', 'drehzahl', 'konjunkturmotor', 'rasant', 'wachsend', 'nachfrag', 'kredit', 'nicht', 'zuletzt', 'gross', 'sorg', 'schwach', 'euro']",8994
24,"Auffällig deutlich betonte die Führungsspitze um EZB-Präsident Wim Duisenberg die Risiken für die Geldwertstabilität: anziehende Inflationsraten in den elf Euroländern, unerwartet hohe Drehzahlen des Konjunkturmotors, eine rasant wachsende Nachfrage nach Krediten und nicht zuletzt die große Sorge um den schwachen Euro.","['auffall', 'deutlich', 'betont', 'fuhrungsspitz', 'ezbprasident', 'wim', 'duisenberg', 'risik', 'geldwertstabilitat', 'anzieh', 'inflationsrat', 'elf', 'euroland', 'unerwartet', 'hoh', 'drehzahl', 'konjunkturmotor', 'rasant', 'wachsend', 'nachfrag', 'kredit', 'nicht', 'zuletzt', 'gross', 'sorg', 'schwach', 'euro']",9060
25,"Mit Blick auf den starken Anstieg der Ölpreise räumte Issing ein, dass die zukünftige Inflationsrate auch bei bestmöglichster Ausrichtung der Geldpolitik unsicher sei.","['blick', 'stark', 'anstieg', 'olpreis', 'raumt', 'issing', 'zukunft', 'inflationsrat', 'bestmog', 'ausricht', 'geldpolit', 'unsich', 'sei']",9312
26,"Die Geldpolitik der EZB steckt dagegen weiter im Teufelskreis aus anziehender Konjunktur, steigender Inflationsrate und schwachem Euro.","['geldpolit', 'ezb', 'steckt', 'dageg', 'teufelskreis', 'anzieh', 'konjunktur', 'steigend', 'inflationsrat', 'schwach', 'euro']",12541
27,"Die Geldpolitik der EZB steckt dagegen weiter im Teufelskreis aus anziehender Konjunktur, steigender Inflationsrate und schwachem Euro.","['geldpolit', 'ezb', 'steckt', 'dageg', 'teufelskreis', 'anzieh', 'konjunktur', 'steigend', 'inflationsrat', 'schwach', 'euro']",12543
28,"Die Geldpolitik der EZB steckt weiterhin im Teufelskreis aus anziehender Konjunktur, steigender Inflationsraten in den elf Ländern der Währungsunion und einem sehr schwachen Euro-Außenwert.","['geldpolit', 'ezb', 'steckt', 'weiterhin', 'teufelskreis', 'anzieh', 'konjunktur', 'steigend', 'inflationsrat', 'elf', 'land', 'wahrungsunion', 'schwach', 'euroaussenwert']",12673
29,"Zum angepeilten Beitrittstermin Anfang kommenden Jahres werde die griechische Inflationsrate weit über jenen zwei Prozent liegen, welche die Europäische Zentralbank (EZB) als Obergrenze für den Preisauftrieb ansehe.","['angepeilt', 'beitrittstermin', 'anfang', 'kommend', 'jahr', 'griechisch', 'inflationsrat', 'weit', 'zwei', 'prozent', 'lieg', 'europa', 'zentralbank', 'ezb', 'obergrenz', 'preisauftrieb', 'anseh']",12674
30,"Für die geldpolitischen Überlegungen der Europäischen Zentralbank wird das Nachlassen der Teuerung in Deutschland allerdings kaum ein Grund sein, auf die bald erwartete nächste Zinserhöhung zu verzichten.","['geldpolit', 'uberleg', 'europa', 'zentralbank', 'nachlass', 'teuer', 'deutschland', 'allerding', 'kaum', 'grund', 'bald', 'erwartet', 'nach', 'zinserhoh', 'verzicht']",12681
31,Die jüngste Zinsanhebung der Europäischen Zentralbank (EZB) von 25 Basispunkten wirke den Risiken einer importierten Inflation entgegen.,"['jung', 'zinsanheb', 'europa', 'zentralbank', 'ezb', 'basispunkt', 'wirk', 'risik', 'importiert', 'inflation', 'entgeg']",13043
32,Mittlerweile steht die Besorgnis der EZB über den stetigen Außenwertverfall des Euro und die daraus sich ergebenden Risiken einer importierten Inflation für EZB-Beobachter außer Frage.,"['mittlerweil', 'steht', 'besorgnis', 'ezb', 'stetig', 'aussenwertverfall', 'euro', 'daraus', 'ergeb', 'risik', 'importiert', 'inflation', 'ezbbeobacht', 'auss', 'frag']",13879
33,Mittlerweile steht die Besorgnis der EZB über den stetigen Außenwertverfall des Euro und die daraus sich ergebenden Risiken einer importierten Inflation für EZB-Beobachter außer Frage.,"['mittlerweil', 'steht', 'besorgnis', 'ezb', 'stetig', 'aussenwertverfall', 'euro', 'daraus', 'ergeb', 'risik', 'importiert', 'inflation', 'ezbbeobacht', 'auss', 'frag']",13881
34,Mittlerweile steht die Besorgnis der EZB über den stetigen Außenwertverfall des Euro und die daraus sich ergebenden Risiken einer importierten Inflation für EZB-Beobachter außer Frage.,"['mittlerweil', 'steht', 'besorgnis', 'ezb', 'stetig', 'aussenwertverfall', 'euro', 'daraus', 'ergeb', 'risik', 'importiert', 'inflation', 'ezbbeobacht', 'auss', 'frag']",13952
35,"Niedrige Inflation fördere die wirtschaftliche Leistung und den Wohlstand, sagte Issing demnach.","['niedrig', 'inflation', 'ford', 'wirtschaft', 'leistung', 'wohlstand', 'sagt', 'issing', 'demnach']",14103
36,PARIS (dpa-AFX) - Trotz der Abschwächung des Euro <EURUS.FX1> bleiben nach Einschätzung von EZB-Präsident Wim Duisenberg die Risiken einer importierten Inflation unter Kontrolle.,"['paris', 'dpaafx', 'trotz', 'abschwach', 'euro', 'eurusfx', 'bleib', 'einschatz', 'ezbprasident', 'wim', 'duisenberg', 'risik', 'importiert', 'inflation', 'kontroll']",14578
37,"Das Interview mit Duisenberg wurde am Samstag geführt und damit zwei Tage, nachdem der EZB-Präsident auf der Pressekonferenz der EZB gesagt hatte, dass der Kursverfall des Euro mittelfristig die Risiken einer importierten Inflation erhöhen werde.","['interview', 'duisenberg', 'wurd', 'samstag', 'gefuhrt', 'zwei', 'tag', 'nachd', 'ezbprasident', 'pressekonferenz', 'ezb', 'gesagt', 'kursverfall', 'euro', 'mittelfrist', 'risik', 'importiert', 'inflation', 'erhoh']",14578
38,"Die EZB werde die Zinsen daher trotzdem anheben, um eine importierte Inflation zu unterbinden, sagte die Expertin.","['ezb', 'zins', 'dah', 'trotzd', 'anheb', 'importiert', 'inflation', 'unterbind', 'sagt', 'expertin']",14647
39,"Er fügte allerdings hinzu, ein weiterhin schwach bleibender Euro würde in Prozentpunkten nur ein paar Dezimalstellen zur Inflation beisteuern     Demgegenüber schnitt die EZB in ihren Monatsbericht Mai bereits einen härteren Tonfall an und ließ keine Zweifel, dass ein weiterer Zinsschritt anstehe.","['fugt', 'allerding', 'hinzu', 'weiterhin', 'schwach', 'bleibend', 'euro', 'prozentpunkt', 'paar', 'dezimalstell', 'inflation', 'beisteu', 'demgegenub', 'schnitt', 'ezb', 'monatsbericht', 'mai', 'bereit', 'hart', 'tonfall', 'liess', 'kein', 'zweifel', 'weit', 'zinsschritt', 'ansteh']",15127
40,"Er fügte allerdings hinzu, ein weiterhin schwach bleibender Euro würde in Prozentpunkten nur ein paar Dezimalstellen zur Inflation beisteuern     Demgegenüber schnitt die EZB in ihren Monatsbericht Mai bereits einen härteren Tonfall an und ließ keine Zweifel, dass ein weiterer Zinsschritt anstehe.","['fugt', 'allerding', 'hinzu', 'weiterhin', 'schwach', 'bleibend', 'euro', 'prozentpunkt', 'paar', 'dezimalstell', 'inflation', 'beisteu', 'demgegenub', 'schnitt', 'ezb', 'monatsbericht', 'mai', 'bereit', 'hart', 'tonfall', 'liess', 'kein', 'zweifel', 'weit', 'zinsschritt', 'ansteh']",15336
41,Zusätzlich zu den ohnehin bestehenden Inflationsrisiken - die Deutsche Bank erwartet 2000/2001 im Schnitt zwei Prozent Teuerung - brächte dies allerdings die EZB-Spitze um Präsident Wim Duisenberg mittelfristig in die Bredouille: weitere Zinsschritte wären unausweichlich.,"['zusatz', 'ohnehin', 'besteh', 'inflationsris', 'deutsch', 'bank', 'erwartet', 'schnitt', 'zwei', 'prozent', 'teuer', 'bracht', 'allerding', 'ezbspitz', 'prasident', 'wim', 'duisenberg', 'mittelfrist', 'bredouill', 'weit', 'zinsschritt', 'war', 'unausweich']",16405
42,"Mit ihrem deutlichen Zinsschritt hofft die EZB, die Teuerung unterhalb ihrer Warnschwelle von zwei Prozent halten zu können.","['deutlich', 'zinsschritt', 'hofft', 'ezb', 'teuer', 'unterhalb', 'warnschwell', 'zwei', 'prozent', 'halt']",16506
43,Um die Inflation möglichst gering zu halten hat die EZB geld- und wirtschaftspolititische Maßnahmen angekündigt.,"['inflation', 'moglich', 'gering', 'halt', 'ezb', 'geld', 'wirtschaftspolitit', 'massnahm', 'angekundigt']",17007
44,"Die Analysten der Dredsner Bank schreiben: Nach Berechnungen der EZB schlägt sich ein Anstieg der Ölpreise um 10% auf Euro-Basis tendenziell in einem um 0,1% höheren Verbraucherpreisindex nieder.","['analyst', 'dredsn', 'bank', 'schreib', 'berechn', 'ezb', 'schlagt', 'anstieg', 'olpreis', 'eurobasis', 'tendenziell', 'hoh', 'verbraucherpreisindex', 'nied']",17416
45,"Issing betonte auch, die EZB sei sich ihrer Verantwortung, die Inflation in der Eurozone einzudämmen, bewusst.","['issing', 'betont', 'ezb', 'sei', 'verantwort', 'inflation', 'eurozon', 'einzudamm', 'bewusst']",17804
46,"Die EZB wird dafür sorge tragen, dass wir auch im nächsten Jahr die Inflationsrate unter 2% halten, sagte Issing.","['ezb', 'dafur', 'sorg', 'trag', 'nach', 'jahr', 'inflationsrat', 'halt', 'sagt', 'issing']",17804
47,"PARIS (dpa-AFX) - Der Chefvolkswirt der Europäischen Zentralbank (EZB) erwartet, dass die Inflation in der Europäischen Union mittelfristig unter der 2-Prozent-Marke bleibt.","['paris', 'dpaafx', 'chefvolkswirt', 'europa', 'zentralbank', 'ezb', 'erwartet', 'inflation', 'europa', 'union', 'mittelfrist', 'prozentmark', 'bleibt']",18612
48,"Um ihre Warnschwelle von zwei Prozent Teuerung zu erreichen, werde die Europäische Zentralbank (EZB) allerdings noch mehrfach die Leitzinsen erhöhen.","['warnschwell', 'zwei', 'prozent', 'teuer', 'erreich', 'europa', 'zentralbank', 'ezb', 'allerding', 'mehrfach', 'leitzins', 'erhoh']",21295
49,"Um ihre Warnschwelle von zwei Prozent Teuerung zu erreichen, werde die Europäische Zentralbank (EZB) allerdings noch mehrfach die Leitzinsen erhöhen.","['warnschwell', 'zwei', 'prozent', 'teuer', 'erreich', 'europa', 'zentralbank', 'ezb', 'allerding', 'mehrfach', 'leitzins', 'erhoh']",21297
50,"Obwohl kein binnenwirtschaftlicher Preisauftrieb in der Euro-Zone bestehe, gerate die EZB wegen des ölpreisgetriebenen Anstiegs der Inflationsraten unter Druck den Tendersatz begrenzt zu erhöhen, hieß es weiter.","['obwohl', 'kein', 'binnenwirtschaft', 'preisauftrieb', 'eurozon', 'besteh', 'gerat', 'ezb', 'weg', 'olpreisgetrieb', 'anstieg', 'inflationsrat', 'druck', 'tendersatz', 'begrenzt', 'erhoh', 'hiess']",21817
51,"DÜSSELDORF (dpa-AFX) - Nach Auffassung von Analysten dürfte der Harmonisierte Verbraucherpreisindex (HVPI) für Juli in der Euro-Zone weiterhin über der von der Europäischen Zentralbank (EZB) festgelegten Obergrenze von 2,0% liegen.","['dusseldorf', 'dpaafx', 'auffass', 'analyst', 'durft', 'harmonisiert', 'verbraucherpreisindex', 'hvpi', 'juli', 'eurozon', 'weiterhin', 'europa', 'zentralbank', 'ezb', 'festgelegt', 'obergrenz', 'lieg']",22107
52,Außerdem werde die jüngste Zinssatzerhöhung der Europäischen Zentralbank (EZB) erst mit einer gewissen Verzögerung die Inflation beeinflussen.,"['ausserd', 'jung', 'zinssatzerhoh', 'europa', 'zentralbank', 'ezb', 'erst', 'gewiss', 'verzoger', 'inflation', 'beeinfluss']",22118
53,DÜSSELDORF (dpa-AFX) - Die Inflationsrate in der Eurozone wird die von der europäischen Zentralbank (EZB) angepeilte Obergrenze für die Preisstabilität von 2% in diesem Jahr übersteigen.,"['dusseldorf', 'dpaafx', 'inflationsrat', 'eurozon', 'europa', 'zentralbank', 'ezb', 'angepeilt', 'obergrenz', 'preisstabilitat', 'jahr', 'ubersteig']",22547
54,"Eine 10%ige Ölpreissteigerung führe auf Sicht von ein bis zwei Monaten zu einer Steigerung des Preisindex für die Lebenshaltung um gut 0,1 Prozentpunkte, sagte Issing laut Handelsblatt./mr/ep/sk","['ige', 'olpreissteiger', 'fuhr', 'sicht', 'zwei', 'monat', 'steiger', 'preisindex', 'lebenshalt', 'gut', 'prozentpunkt', 'sagt', 'issing', 'laut', 'handelsblattmrepsk']",22547
55,"Der Harmonisierte Verbraucherpreisindex in der Euro-Zone (HVPI) werde voraussichtlich im gesamten Jahr 2000 die von der EZB festgelegte Obergrenze von 2,0% verletzen, schrieben sie in einer in Düsseldorf veröffentlichten Studie.","['harmonisiert', 'verbraucherpreisindex', 'eurozon', 'hvpi', 'voraussicht', 'gesamt', 'jahr', 'ezb', 'festgelegt', 'obergrenz', 'verletz', 'schrieb', 'dusseldorf', 'veroffentlicht', 'studi']",22641
56,"Damit verstärken sich die Risiken für die Preisstabilität, nachdem die Inflationsrate im Euro-Raum mit zuletzt 2,4 Prozent deutlich über dem von der EZB genannten Toleranzwert von zwei Prozent lag.","['verstark', 'risik', 'preisstabilitat', 'nachd', 'inflationsrat', 'euroraum', 'zuletzt', 'prozent', 'deutlich', 'ezb', 'genannt', 'toleranzwert', 'zwei', 'prozent', 'lag']",22813
57,"Aber die EZB muss etwas machen, um den Euro zu stützen und die Inflation in Schach zu halten, fügt sie hinzu.","['ezb', 'euro', 'stutz', 'inflation', 'schach', 'halt', 'fugt', 'hinzu']",23182
58,Für die Inflation etwa hat sich die EZB ein Ziel von höchstens zwei Prozent im Jahr gesetzt.,"['inflation', 'etwa', 'ezb', 'ziel', 'hochst', 'zwei', 'prozent', 'jahr', 'gesetzt']",23182
59,"Im Juli hatte die Inflationsrate in der Euro-Zone mit 2,4% die Obergrenze der EZB von 2,0% überschritten.","['juli', 'inflationsrat', 'eurozon', 'obergrenz', 'ezb', 'uberschritt']",23214
60,"Im Juli hatte die Inflationsrate in der Euro-Zone mit 2,4% die Obergrenze der EZB von 2,0% überschritten.","['juli', 'inflationsrat', 'eurozon', 'obergrenz', 'ezb', 'uberschritt']",23220
61,BERLIN (dpa-AFX) - Der Deutsche Industrie- und Handelstag (DIHT) sieht in der heutigen Leitzinsentscheidung der Europäischen Zentralbank (EZB) eine eher zaghafte Reaktion auf die zunehmende Inflation im Euro-Raum.,"['berlin', 'dpaafx', 'deutsch', 'industri', 'handelstag', 'diht', 'sieht', 'heutig', 'leitzinsentscheid', 'europa', 'zentralbank', 'ezb', 'eher', 'zaghaft', 'reaktion', 'zunehm', 'inflation', 'euroraum']",23298
62,"Der Rückgang der Schweizer Inflation wie auch der mäßige Zinsschritt der EZB sollten auf der Zinsseite Beruhigung bringen, meinte ein Analyst der ZKB.","['ruckgang', 'schweiz', 'inflation', 'massig', 'zinsschritt', 'ezb', 'sollt', 'zinsseit', 'beruh', 'bring', 'meint', 'analyst', 'zkb']",23373
63,"Sollte die Inflation steigen, müsse die Europäische Zentralbank die Zinsen erhöhen.","['inflation', 'steig', 'muss', 'europa', 'zentralbank', 'zins', 'erhoh']",23794
64,"Die Entwicklung werde erst dann zum Problem für die EZB, wenn sie einen merklichen Einfluss auf die Inflationsrate habe, sagte Duisenberg.","['entwickl', 'erst', 'probl', 'ezb', 'merklich', 'einfluss', 'inflationsrat', 'sagt', 'duisenberg']",24140
65,Duisenberg sieht durch die gestiegen Ölpreise Gefahren für die Inflation in Euroland.,"['duisenberg', 'sieht', 'gestieg', 'olpreis', 'gefahr', 'inflation', 'euroland']",24141
66,"Die Entwicklung werde erst dann zum Problem für die EZB, wenn sie einen merklichen Einfluss auf die Inflationsrate habe, sagte Duisenberg.","['entwickl', 'erst', 'probl', 'ezb', 'merklich', 'einfluss', 'inflationsrat', 'sagt', 'duisenberg']",24141
67,"Dazu zählt eine weitere Zinserhöhung durch die Europäische Zentralbank, um einer importierten Inflation vorzubeugen.","['zahlt', 'weit', 'zinserhoh', 'europa', 'zentralbank', 'importiert', 'inflation', 'vorzubeug']",24568
68,"Außerdem werde es der Europäischen Zentralbank (EZB) schwer fallen, die Inflation unter ihrer Obergrenze von zwei Prozent zu halten, wenn die mittel- und Osteuropäischer Länder Mitglieder der Eurozone werden.","['ausserd', 'europa', 'zentralbank', 'ezb', 'schwer', 'fall', 'inflation', 'obergrenz', 'zwei', 'prozent', 'halt', 'mittel', 'osteuropa', 'land', 'mitglied', 'eurozon']",25199
69,"Ein nachhaltiger Anstieg des Euro, vielleicht sogar über das Paritäts-Niveau hinaus, scheint daher unwahrscheinlich, denn die EZB ist nicht an steigenden Aktiennotierungen interessiert, sondern vornehmlich an der Erhaltung des Geldwertes.","['nachhalt', 'anstieg', 'euro', 'vielleicht', 'sogar', 'paritatsniveau', 'hinaus', 'scheint', 'dah', 'unwahrschein', 'ezb', 'nicht', 'steigend', 'aktiennotier', 'interessiert', 'vornehm', 'erhalt', 'geldwert']",25284
70,FRANKFURT (dpa-AFX) - Die in den vergangenen Monaten verzeichneten Inflationsraten von mehr als zwei Prozent sind für EZB-Chefökonom Ottmar Issing mittelfristig nicht hinnehmbar.,"['frankfurt', 'dpaafx', 'vergang', 'monat', 'verzeichnet', 'inflationsrat', 'mehr', 'zwei', 'prozent', 'ezbchefokonom', 'ottmar', 'issing', 'mittelfrist', 'nicht', 'hinnehmbar']",25733
71,"Damit sei das Ziel der EZB gefährdet, die Inflation mittelfristig unter 2,0% zu halten./js/tf/fl","['sei', 'ziel', 'ezb', 'gefahrdet', 'inflation', 'mittelfrist', 'haltenjstffl']",25838
72,"Die Inflation in den elf Euro-Staaten habe indes die von der EZB angepeilte Zielmarke überschritten, erinnerten die Experten.","['inflation', 'elf', 'eurostaat', 'ind', 'ezb', 'angepeilt', 'zielmark', 'uberschritt', 'erinnert', 'expert']",26254
73,"Wenn die durch den hohen Ölpreis nach oben getriebenen Energiekosten nicht signifikant zurückgingen, werde es einige Zeit dauern, bis die Inflationsrate des Harmonisierten Verbraucherpreisindex (HVPI) unter die von der Notenbank festgelegte Obergrenze von 2,0% falle, schreibt die EZB in ihrem am Donnerstag in Frankfurt vorgelegten Monatsbericht für Oktober.","['hoh', 'olpreis', 'oben', 'getrieb', 'energiekost', 'nicht', 'signifikant', 'zuruckging', 'zeit', 'dau', 'inflationsrat', 'harmonisiert', 'verbraucherpreisindex', 'hvpi', 'notenbank', 'festgelegt', 'obergrenz', 'fall', 'schreibt', 'ezb', 'donnerstag', 'frankfurt', 'vorgelegt', 'monatsbericht', 'oktob']",26956
